Title,Description,Status,Labels,Milestone
"Phase 0: Create repo and base files","Create the repo (infra-lab-2.0) and add README, PROJECT-OUTLINE, STATUS, SECURITY, and docs/ folder.","Backlog","phase-0,documentation","Phase 0 – Foundations"
"Phase 0: Configure Azure CLI on Mac","Install and log into Azure CLI from your Mac. Verify `az login` works and subscription is selected.","Backlog","phase-0,azure,cli","Phase 0 – Foundations"
"Phase 0: Confirm Cloudflare account & token","Verify Cloudflare account, create an API token with correct permissions, and store it securely (not in git).","Backlog","phase-0,cloudflare,security","Phase 0 – Foundations"
"Phase 0: Define naming conventions","Decide and document naming conventions for resource groups, VNets, AKS clusters, VMs, and DNS records.","Backlog","phase-0,design","Phase 0 – Foundations"

"Phase 1: Terraform providers & versions","Create providers.tf and versions.tf for azurerm and cloudflare with pinned versions.","Backlog","phase-1,terraform","Phase 1 – Network & Identity"
"Phase 1: Resource group module","Create Terraform to define the main resource group for the lab.","Backlog","phase-1,terraform,network","Phase 1 – Network & Identity"
"Phase 1: Virtual network & subnets","Create network module for VNet and subnets (aks, db, bastion) with outputs for subnet IDs.","Backlog","phase-1,terraform,network","Phase 1 – Network & Identity"
"Phase 1: Network security groups","Attach NSGs to subnets with basic allow/deny rules (app ↔ db, bastion ↔ private, internet ↔ ingress).","Backlog","phase-1,security,network","Phase 1 – Network & Identity"
"Phase 1: Validate network plan","Apply/destroy network module and confirm resources look correct in Azure portal.","Backlog","phase-1,testing,azure","Phase 1 – Network & Identity"

"Phase 2: AKS cluster module","Create AKS module with cluster, node pool, and managed identity configuration.","Backlog","phase-2,aks,terraform","Phase 2 – AKS & Autoscaling"
"Phase 2: Enable AKS cluster autoscaler","Configure default node pool with min/max node counts and autoscaling enabled.","Backlog","phase-2,aks,autoscaling","Phase 2 – AKS & Autoscaling"
"Phase 2: Install NGINX ingress controller","Deploy NGINX ingress (Helm or manifests) into the AKS cluster and expose a test endpoint.","Backlog","phase-2,aks,ingress","Phase 2 – AKS & Autoscaling"
"Phase 2: Deploy test API and frontend","Deploy a simple test API and dummy frontend to AKS to confirm ingress works end-to-end.","Backlog","phase-2,aks,app","Phase 2 – AKS & Autoscaling"
"Phase 2: Configure Horizontal Pod Autoscaler","Create HPA for the API deployment based on CPU utilization and test with synthetic load.","Backlog","phase-2,autoscaling,hpa","Phase 2 – AKS & Autoscaling"
"Phase 2: Validate cluster autoscaler","Generate enough load to trigger additional AKS nodes and verify scale-out and scale-in behavior.","Backlog","phase-2,autoscaling,testing","Phase 2 – AKS & Autoscaling"

